system,subset,step,lambda,repeat_index,repeat_number,r_val_raw,path
tfim,early5,1100,1e-08,0,1,0.0181284898356373,<raw-result-omitted>
tfim,early5,1100,1e-08,1,2,0.017780391168928083,<raw-result-omitted>
tfim,early5,1100,1e-08,2,3,0.016682560312505326,<raw-result-omitted>
tfim,early5,1100,1e-08,3,4,0.017747305038235038,<raw-result-omitted>
tfim,early5,1100,1e-08,4,5,0.017098011703043654,<raw-result-omitted>
tfim,early5,1100,1e-08,5,6,0.01790307415122728,<raw-result-omitted>
tfim,early5,1100,1e-08,6,7,0.017364013631820642,<raw-result-omitted>
tfim,early5,1100,1e-08,7,8,0.016977372009444304,<raw-result-omitted>
tfim,early5,1100,1e-08,8,9,0.017520211751801157,<raw-result-omitted>
tfim,early5,1100,1e-08,9,10,0.017858861430660226,<raw-result-omitted>
tfim,early5,1100,1e-08,10,11,0.01774878005179536,<raw-result-omitted>
tfim,early5,1100,1e-08,11,12,0.017517858416628323,<raw-result-omitted>
tfim,early5,1100,1e-08,12,13,0.016931526287908116,<raw-result-omitted>
tfim,early5,1100,1e-08,13,14,0.017184775600834493,<raw-result-omitted>
tfim,early5,1100,1e-08,14,15,0.017601048673319405,<raw-result-omitted>
tfim,early5,1100,1e-08,15,16,0.017027876922180593,<raw-result-omitted>
tfim,early5,1100,1e-08,16,17,0.017048482108834983,<raw-result-omitted>
tfim,early5,1100,1e-08,17,18,0.017641324700479355,<raw-result-omitted>
tfim,early5,1100,1e-08,18,19,0.017439552557449445,<raw-result-omitted>
tfim,early5,1100,1e-08,19,20,0.017596863361848843,<raw-result-omitted>
tfim,early5,1100,1e-07,0,1,0.017518115829163294,<raw-result-omitted>
tfim,early5,1100,1e-07,1,2,0.017242972973442298,<raw-result-omitted>
tfim,early5,1100,1e-07,2,3,0.01606644585262581,<raw-result-omitted>
tfim,early5,1100,1e-07,3,4,0.01722615403882445,<raw-result-omitted>
tfim,early5,1100,1e-07,4,5,0.016531686240734537,<raw-result-omitted>
tfim,early5,1100,1e-07,5,6,0.017398329645390984,<raw-result-omitted>
tfim,early5,1100,1e-07,6,7,0.016733409278439925,<raw-result-omitted>
tfim,early5,1100,1e-07,7,8,0.016518675553650254,<raw-result-omitted>
tfim,early5,1100,1e-07,8,9,0.016873434957219192,<raw-result-omitted>
tfim,early5,1100,1e-07,9,10,0.01715966084690672,<raw-result-omitted>
tfim,early5,1100,1e-07,10,11,0.017111185431508108,<raw-result-omitted>
tfim,early5,1100,1e-07,11,12,0.01703502959005574,<raw-result-omitted>
