system,subset,steps,lambda,repeat_index,repeat_number,mean,std,count
tfim,early5,"1100,1200,1300,1400,1500",1e-08,0,1,0.014333377101314904,0.002788549959855067,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,0,1,0.013868644491487687,0.002638388770681293,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,0,1,0.011967680291771556,0.002382080120106115,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,0,1,0.012488466572447107,0.002252706862297708,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,0,1,0.013289442797687756,0.0022216076841398515,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,0,1,0.013926871656692808,0.0020830891824668673,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,0,1,0.014565820242252656,0.002200391945720269,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,0,1,0.015201039831820792,0.002581709060856522,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,0,1,0.009265573601871482,0.0009811401883413418,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,0,1,0.008979875021942843,0.0009025690923839964,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,0,1,0.007688867488068951,0.0007621103761957412,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,0,1,0.008312463294445465,0.0008931742353103969,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,0,1,0.009132616718143879,0.000986285050866963,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,0,1,0.009954646871586365,0.0009598818240221139,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,0,1,0.010451761939240172,0.0009055838067788254,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,0,1,0.010613209489261435,0.0008249529423211174,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,1,2,0.014073193810286011,0.0027000581525042384,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,1,2,0.013643477319731968,0.0025939332171363736,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,1,2,0.011819308998064989,0.002382802103536525,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,1,2,0.012516556412922583,0.0025068770641664766,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,1,2,0.013293349736687726,0.002437920902282656,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,1,2,0.013939786239672652,0.002265283309359353,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,1,2,0.014553740168015574,0.0022810114467392575,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,1,2,0.015165038681020824,0.002660719215561789,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,1,2,0.009067160607437282,0.0008085034545613434,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,1,2,0.008836374320310722,0.0008039536454324146,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,1,2,0.007618127473156214,0.0006975210331660904,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,1,2,0.008221668246974123,0.0007485273976976628,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,1,2,0.00908185807349032,0.0008530994004850289,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,1,2,0.009910086760570607,0.000992814468179685,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,1,2,0.01043918332350666,0.0010295916783109975,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,1,2,0.010532433157098679,0.0008940073385729425,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,2,3,0.01380650635550634,0.002332048075849028,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,2,3,0.013329691116043091,0.002231430349969497,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,2,3,0.011608998082204738,0.0020282913740402595,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,2,3,0.01226068758790746,0.0020531156649262715,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,2,3,0.013098685598905374,0.0020918413772463944,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,2,3,0.013787295063632157,0.0021151923368774267,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,2,3,0.014436844788847731,0.0021958553531860507,5
