global_iteration,energy_per_site
2501,-1.99407164
2502,-1.99417437
2503,-1.99412916
2504,-1.99446419
2505,-1.99433246
2506,-1.99454052
2507,-1.99414658
2508,-1.99430256
2509,-1.99440972
2510,-1.99465350
2511,-1.99435986
2512,-1.99437917
2513,-1.99430897
2514,-1.99471591
2515,-1.99472287
2516,-1.99448485
2517,-1.99456439
2518,-1.99446384
2519,-1.99470312
2520,-1.99446973
2521,-1.99469636
2522,-1.99449539
2523,-1.99434408
2524,-1.99403181
2525,-1.99426903
2526,-1.99439027
2527,-1.99449149
2528,-1.99439781
2529,-1.99440762
2530,-1.99486036
2531,-1.99469769
2532,-1.99451492
2533,-1.99428976
2534,-1.99452273
2535,-1.99434610
2536,-1.99443211
2537,-1.99395437
2538,-1.99436882
2539,-1.99430906
2540,-1.99454647
2541,-1.99489617
2542,-1.99480404
2543,-1.99460232
2544,-1.99444742
2545,-1.99449521
2546,-1.99442811
2547,-1.99480250
2548,-1.99416027
2549,-1.99475785
2550,-1.99423765
2551,-1.99442696
2552,-1.99509007
2553,-1.99441931
2554,-1.99463230
2555,-1.99435329
2556,-1.99426619
2557,-1.99455717
2558,-1.99457116
2559,-1.99464999
2560,-1.99443128
2561,-1.99457180
2562,-1.99466439
2563,-1.99432754
2564,-1.99443427
2565,-1.99479802
2566,-1.99452612
2567,-1.99478079
2568,-1.99397598
2569,-1.99434514
2570,-1.99464988
2571,-1.99468193
2572,-1.99409821
2573,-1.99441992
2574,-1.99467451
2575,-1.99449677
2576,-1.99441906
2577,-1.99458823
2578,-1.99462428
2579,-1.99442887
2580,-1.99419629
2581,-1.99444037
2582,-1.99427077
2583,-1.99437648
2584,-1.99453805
2585,-1.99438976
2586,-1.99432767
2587,-1.99466415
2588,-1.99428389
2589,-1.99423805
2590,-1.99435466
2591,-1.99471315
2592,-1.99444232
2593,-1.99444594
2594,-1.99491400
2595,-1.99447511
2596,-1.99468828
2597,-1.99481984
2598,-1.99474231
2599,-1.99461372
2600,-1.99435486
2601,-1.99429082
2602,-1.99404541
2603,-1.99464103
2604,-1.99451714
2605,-1.99434652
2606,-1.99484030
2607,-1.99433016
2608,-1.99439150
2609,-1.99448721
2610,-1.99466749
2611,-1.99412446
2612,-1.99434521
2613,-1.99441311
2614,-1.99456690
2615,-1.99472372
2616,-1.99431014
2617,-1.99446559
2618,-1.99404132
2619,-1.99417278
2620,-1.99497045
2621,-1.99467071
2622,-1.99471679
2623,-1.99450051
2624,-1.99467141
2625,-1.99493018
