global_iteration,energy_per_site
1951,-1.99433792
1952,-1.99462312
1953,-1.99445673
1954,-1.99372294
1955,-1.99392026
1956,-1.99404437
1957,-1.99407458
1958,-1.99425656
1959,-1.99412342
1960,-1.99447644
1961,-1.99436986
1962,-1.99387232
1963,-1.99352829
1964,-1.99413970
1965,-1.99429392
1966,-1.99370260
1967,-1.99449811
1968,-1.99421596
1969,-1.99381133
1970,-1.99424034
1971,-1.99402874
1972,-1.99408804
1973,-1.99399628
1974,-1.99410104
1975,-1.99397943
1976,-1.99410902
1977,-1.99445202
1978,-1.99431351
1979,-1.99432517
1980,-1.99415911
1981,-1.99426635
1982,-1.99386655
1983,-1.99414464
1984,-1.99427760
1985,-1.99402841
1986,-1.99414423
1987,-1.99402654
1988,-1.99456029
1989,-1.99433696
1990,-1.99429098
1991,-1.99434504
1992,-1.99417284
1993,-1.99413741
1994,-1.99412977
1995,-1.99455818
1996,-1.99397098
1997,-1.99471501
1998,-1.99370890
1999,-1.99440923
2000,-1.99372594
2001,-1.99397564
2002,-1.99417364
2003,-1.99415143
2004,-1.99404182
2005,-1.99451434
2006,-1.99387881
2007,-1.99422030
2008,-1.99394513
2009,-1.99396182
2010,-1.99420614
2011,-1.99437963
2012,-1.99430868
2013,-1.99425982
2014,-1.99425885
2015,-1.99443376
2016,-1.99432464
2017,-1.99392376
2018,-1.99393788
2019,-1.99433363
2020,-1.99420136
2021,-1.99434859
2022,-1.99386463
2023,-1.99413915
2024,-1.99427277
2025,-1.99423754
2026,-1.99413394
2027,-1.99438993
2028,-1.99409441
2029,-1.99439595
2030,-1.99394880
2031,-1.99410091
2032,-1.99416134
2033,-1.99456438
2034,-1.99447884
2035,-1.99414971
2036,-1.99403912
2037,-1.99394162
2038,-1.99379202
2039,-1.99366513
2040,-1.99425212
2041,-1.99415779
2042,-1.99417539
2043,-1.99425426
2044,-1.99387372
2045,-1.99391669
2046,-1.99476321
2047,-1.99382011
2048,-1.99387305
2049,-1.99428580
2050,-1.99382700
2051,-1.99434654
2052,-1.99415734
2053,-1.99442365
2054,-1.99437576
2055,-1.99427107
2056,-1.99410059
2057,-1.99457813
2058,-1.99429083
2059,-1.99411899
2060,-1.99448224
2061,-1.99385363
2062,-1.99410494
2063,-1.99454404
2064,-1.99414528
2065,-1.99407829
2066,-1.99424360
2067,-1.99421335
2068,-1.99408477
2069,-1.99409014
2070,-1.99420422
2071,-1.99404354
2072,-1.99422676
2073,-1.99446477
2074,-1.99423673
2075,-1.99435516
2076,-1.99454892
2077,-1.99435588
2078,-1.99404957
2079,-1.99444366
2080,-1.99435009
2081,-1.99466133
2082,-1.99400604
2083,-1.99375602
2084,-1.99421061
2085,-1.99410075
2086,-1.99322823
2087,-1.99446014
2088,-1.99401596
2089,-1.99444351
2090,-1.99463522
2091,-1.99421104
2092,-1.99370821
2093,-1.99411696
2094,-1.99441091
2095,-1.99414304
2096,-1.99434293
2097,-1.99424477
2098,-1.99420052
2099,-1.99435073
2100,-1.99412815
2101,-1.99419678
2102,-1.99352507
2103,-1.99442067
2104,-1.99395762
2105,-1.99398265
2106,-1.99420840
2107,-1.99367080
2108,-1.99408893
2109,-1.99412938
2110,-1.99435059
2111,-1.99403924
2112,-1.99415528
2113,-1.99388826
2114,-1.99420674
2115,-1.99398994
2116,-1.99412324
2117,-1.99445956
2118,-1.99446245
2119,-1.99454865
2120,-1.99451100
2121,-1.99405090
2122,-1.99385253
2123,-1.99412732
2124,-1.99395311
2125,-1.99445778
2126,-1.99444421
2127,-1.99401985
2128,-1.99420799
2129,-1.99400932
2130,-1.99402786
2131,-1.99420623
2132,-1.99411063
2133,-1.99415015
2134,-1.99371413
2135,-1.99373847
2136,-1.99432626
2137,-1.99438173
2138,-1.99447663
2139,-1.99428096
2140,-1.99395289
2141,-1.99448643
2142,-1.99412678
2143,-1.99421273
2144,-1.99413632
2145,-1.99438689
2146,-1.99425400
2147,-1.99439937
2148,-1.99401956
2149,-1.99400043
2150,-1.99432502
2151,-1.99466873
2152,-1.99451450
2153,-1.99424487
2154,-1.99426404
2155,-1.99408922
2156,-1.99398107
2157,-1.99392043
2158,-1.99394969
2159,-1.99433775
2160,-1.99378349
2161,-1.99416300
2162,-1.99403954
2163,-1.99386469
2164,-1.99446944
2165,-1.99451186
2166,-1.99434079
2167,-1.99372710
2168,-1.99399816
2169,-1.99446503
2170,-1.99407770
2171,-1.99436331
2172,-1.99401550
2173,-1.99394696
2174,-1.99412525
2175,-1.99414844
2176,-1.99422063
2177,-1.99423687
2178,-1.99451389
2179,-1.99449633
2180,-1.99419501
2181,-1.99453622
2182,-1.99406477
2183,-1.99429051
2184,-1.99397532
2185,-1.99411468
2186,-1.99411877
2187,-1.99390569
2188,-1.99431163
2189,-1.99427280
2190,-1.99455802
2191,-1.99422881
2192,-1.99455937
2193,-1.99444090
2194,-1.99444094
2195,-1.99396641
2196,-1.99420725
2197,-1.99399288
2198,-1.99423197
2199,-1.99437046
2200,-1.99388553
2201,-1.99414492
2202,-1.99464592
2203,-1.99419824
2204,-1.99416185
2205,-1.99438797
2206,-1.99426115
2207,-1.99436473
2208,-1.99446567
2209,-1.99402899
2210,-1.99444403
2211,-1.99435546
2212,-1.99383560
2213,-1.99410180
2214,-1.99424120
2215,-1.99467325
2216,-1.99414522
2217,-1.99435235
2218,-1.99430862
2219,-1.99468471
2220,-1.99377722
2221,-1.99425795
2222,-1.99417265
2223,-1.99410447
2224,-1.99431110
