global_iteration,energy_per_site
2501,-1.99453281
2502,-1.99404978
2503,-1.99433397
2504,-1.99418585
2505,-1.99431808
2506,-1.99445737
2507,-1.99399154
2508,-1.99368833
2509,-1.99381109
2510,-1.99384568
2511,-1.99372220
2512,-1.99418503
2513,-1.99361487
2514,-1.99379968
2515,-1.99454163
2516,-1.99385910
2517,-1.99379088
2518,-1.99376782
2519,-1.99417373
2520,-1.99378188
2521,-1.99387933
2522,-1.99366791
2523,-1.99348520
2524,-1.99356689
2525,-1.99377319
2526,-1.99382156
2527,-1.99345237
2528,-1.99326325
2529,-1.99293742
2530,-1.99268986
2531,-1.99319639
2532,-1.99344938
2533,-1.99319073
2534,-1.99341328
2535,-1.99371565
2536,-1.99357693
2537,-1.99285327
2538,-1.99341483
2539,-1.99347864
2540,-1.99343041
2541,-1.99341597
2542,-1.99319779
2543,-1.99356281
2544,-1.99310122
2545,-1.99366558
2546,-1.99332804
2547,-1.99342169
2548,-1.99345316
2549,-1.99359509
2550,-1.99325729
2551,-1.99354152
2552,-1.99317732
2553,-1.99373050
2554,-1.99298762
2555,-1.99268759
2556,-1.99338319
2557,-1.99311987
2558,-1.99300970
2559,-1.99294432
2560,-1.99249801
2561,-1.99279450
2562,-1.99250455
2563,-1.99239225
2564,-1.99305196
2565,-1.99294937
2566,-1.99285618
2567,-1.99307980
2568,-1.99312172
2569,-1.99306741
2570,-1.99260590
2571,-1.99308577
2572,-1.99313380
2573,-1.99377727
2574,-1.99300586
2575,-1.99266628
2576,-1.99259219
2577,-1.99243291
2578,-1.99347770
2579,-1.99316125
2580,-1.99318024
2581,-1.99289699
2582,-1.99310387
2583,-1.99297441
2584,-1.99331230
2585,-1.99310135
2586,-1.99309639
2587,-1.99312033
2588,-1.99259527
2589,-1.99272694
2590,-1.99337780
2591,-1.99325102
2592,-1.99348725
2593,-1.99302029
2594,-1.99326711
2595,-1.99332229
2596,-1.99247949
2597,-1.99306587
2598,-1.99246081
2599,-1.99254292
2600,-1.99248123
2601,-1.99275470
2602,-1.99218389
2603,-1.99257579
2604,-1.99229653
2605,-1.99276843
2606,-1.99269533
2607,-1.99238450
2608,-1.99291655
2609,-1.99259299
2610,-1.99266249
2611,-1.99287923
2612,-1.99301946
2613,-1.99304096
2614,-1.99236290
2615,-1.99247493
2616,-1.99282772
