global_iteration,energy_per_site
2501,-1.99455344
2502,-1.99460609
2503,-1.99443786
2504,-1.99419159
2505,-1.99410009
2506,-1.99426998
2507,-1.99479082
2508,-1.99438335
2509,-1.99459652
2510,-1.99416199
2511,-1.99436474
2512,-1.99433395
2513,-1.99459697
2514,-1.99430104
2515,-1.99451065
2516,-1.99396794
2517,-1.99458113
2518,-1.99432876
2519,-1.99395941
2520,-1.99423963
2521,-1.99424145
2522,-1.99461996
2523,-1.99455036
2524,-1.99415688
2525,-1.99477234
2526,-1.99445071
2527,-1.99410925
2528,-1.99407118
2529,-1.99436019
2530,-1.99454125
2531,-1.99421687
2532,-1.99466493
2533,-1.99443145
2534,-1.99417853
2535,-1.99462998
2536,-1.99454851
2537,-1.99457686
2538,-1.99461204
2539,-1.99437764
2540,-1.99457441
2541,-1.99450048
2542,-1.99453583
2543,-1.99423073
2544,-1.99448955
2545,-1.99419649
2546,-1.99457152
2547,-1.99436466
2548,-1.99461152
2549,-1.99442991
2550,-1.99466326
2551,-1.99438399
2552,-1.99466858
2553,-1.99482007
2554,-1.99443890
2555,-1.99439091
2556,-1.99472919
2557,-1.99451918
2558,-1.99432610
2559,-1.99461698
2560,-1.99433005
2561,-1.99418969
2562,-1.99429599
2563,-1.99409226
2564,-1.99425306
2565,-1.99418261
2566,-1.99460463
2567,-1.99436812
2568,-1.99425033
2569,-1.99464716
2570,-1.99434628
2571,-1.99427262
2572,-1.99431994
2573,-1.99435979
2574,-1.99418597
2575,-1.99411394
2576,-1.99435816
2577,-1.99446500
2578,-1.99434441
2579,-1.99385538
2580,-1.99424267
2581,-1.99380605
2582,-1.99412428
2583,-1.99433802
2584,-1.99439532
2585,-1.99429746
2586,-1.99431951
2587,-1.99388259
2588,-1.99409229
2589,-1.99434617
2590,-1.99451315
2591,-1.99421585
2592,-1.99431402
2593,-1.99398970
2594,-1.99422200
2595,-1.99435371
2596,-1.99421582
2597,-1.99397274
2598,-1.99464048
2599,-1.99414606
2600,-1.99449363
2601,-1.99406053
2602,-1.99422323
2603,-1.99490545
2604,-1.99455236
2605,-1.99451781
2606,-1.99413416
2607,-1.99437119
2608,-1.99421790
2609,-1.99434055
2610,-1.99445779
2611,-1.99395973
2612,-1.99447174
2613,-1.99439018
2614,-1.99401209
2615,-1.99375818
2616,-1.99417342
