run,method,n_checkpoints,e_val_mean,e_val_std,v_mb_mean,v_mb_std
k2,single@lambda*,10,0.009679,0.002422,0.004686,0.001237
k2,same-batch uniform,10,0.009214,0.002105,0.002950,0.000692
k2,same-batch stacking,10,0.009229,0.002093,0.003089,0.000550
k2,bagged@lambda*,10,0.007332,0.001796,0.002340,0.000620
k2,MS-SR uniform,10,0.008538,0.001950,0.002277,0.000553
k2,MS-SR,10,0.008538,0.001950,0.002277,0.000553
k3,single@lambda*,10,0.009666,0.002377,0.004680,0.001204
k3,same-batch uniform,10,0.009063,0.002074,0.003488,0.000795
k3,same-batch stacking,10,0.008844,0.001997,0.003099,0.000578
k3,bagged@lambda*,10,0.006556,0.001587,0.001562,0.000408
k3,MS-SR uniform,10,0.007210,0.001662,0.001621,0.000378
k3,MS-SR,10,0.007157,0.001657,0.001738,0.000346
k4 (shipped),single@lambda*,10,0.009697,0.002426,0.004706,0.001244
k4 (shipped),same-batch uniform,10,0.009287,0.002161,0.003622,0.000844
k4 (shipped),same-batch stacking,10,0.009092,0.002046,0.003099,0.000556
k4 (shipped),bagged@lambda*,10,0.006166,0.001486,0.001171,0.000305
k4 (shipped),MS-SR uniform,10,0.006874,0.001602,0.001210,0.000286
k4 (shipped),MS-SR,10,0.006802,0.001595,0.001389,0.000291
k5,single@lambda*,10,0.009660,0.002399,0.004678,0.001227
k5,same-batch uniform,10,0.009493,0.002201,0.004104,0.000969
k5,same-batch stacking,10,0.009063,0.002018,0.003108,0.000572
k5,bagged@lambda*,10,0.005934,0.001428,0.000939,0.000244
k5,MS-SR uniform,10,0.006463,0.001493,0.001057,0.000251
k5,MS-SR,10,0.006383,0.001479,0.001266,0.000275
k4 qgridA 0.95/0.8/0.5/0.2,single@lambda*,10,0.009697,0.002426,0.004706,0.001244
k4 qgridA 0.95/0.8/0.5/0.2,same-batch uniform,10,0.008845,0.002053,0.002777,0.000640
k4 qgridA 0.95/0.8/0.5/0.2,same-batch stacking,10,0.008669,0.001949,0.002900,0.000479
k4 qgridA 0.95/0.8/0.5/0.2,bagged@lambda*,10,0.006166,0.001486,0.001171,0.000305
k4 qgridA 0.95/0.8/0.5/0.2,MS-SR uniform,10,0.007122,0.001654,0.001059,0.000243
k4 qgridA 0.95/0.8/0.5/0.2,MS-SR,10,0.006938,0.001625,0.001469,0.000283
k4 qgridB 0.8/0.6/0.3/0.05,single@lambda*,10,0.009697,0.002426,0.004706,0.001244
k4 qgridB 0.8/0.6/0.3/0.05,same-batch uniform,10,0.009864,0.002367,0.004625,0.001135
k4 qgridB 0.8/0.6/0.3/0.05,same-batch stacking,10,0.009464,0.002313,0.003810,0.000797
k4 qgridB 0.8/0.6/0.3/0.05,bagged@lambda*,10,0.006166,0.001486,0.001171,0.000305
k4 qgridB 0.8/0.6/0.3/0.05,MS-SR uniform,10,0.006598,0.001568,0.001356,0.000335
k4 qgridB 0.8/0.6/0.3/0.05,MS-SR,10,0.006574,0.001568,0.001369,0.000321
k4 lt1e-3 (steps 1100/1500/2000),single@lambda*,3,0.036832,0.006731,0.016348,0.001470
k4 lt1e-3 (steps 1100/1500/2000),same-batch uniform,3,0.033890,0.006231,0.013117,0.002316
k4 lt1e-3 (steps 1100/1500/2000),same-batch stacking,3,0.033561,0.006199,0.011609,0.001514
k4 lt1e-3 (steps 1100/1500/2000),bagged@lambda*,3,0.024590,0.006990,0.004063,0.000369
k4 lt1e-3 (steps 1100/1500/2000),MS-SR uniform,3,0.025356,0.004671,0.004538,0.000781
k4 lt1e-3 (steps 1100/1500/2000),MS-SR,3,0.024726,0.004623,0.005384,0.000759
k4 lt1e-5 (steps 1100/1500/2000),single@lambda*,3,0.002107,0.000621,0.000700,0.000179
k4 lt1e-5 (steps 1100/1500/2000),same-batch uniform,3,0.002127,0.000624,0.000789,0.000205
k4 lt1e-5 (steps 1100/1500/2000),same-batch stacking,3,0.001991,0.000576,0.000644,0.000136
k4 lt1e-5 (steps 1100/1500/2000),bagged@lambda*,3,0.001580,0.000482,0.000174,0.000044
k4 lt1e-5 (steps 1100/1500/2000),MS-SR uniform,3,0.001578,0.000477,0.000241,0.000063
k4 lt1e-5 (steps 1100/1500/2000),MS-SR,3,0.001575,0.000470,0.000256,0.000060
